comparison_type,dimension,segment,model,n_rows,n_positive,positive_rate,reference_model,reference_segment,rank_correlation_with_reference,top10_jaccard_with_reference,mean_abs_importance_delta,top_features,notes
reference,overall,overall,champion,290004,166577,0.5743955255789576,champion,overall,1.0,1.0,0.0,debt_to_income_ratio; business_or_commercial_purpose; occupancy_type; lien_status; applicant_credit_score_type; preapproval; co_applicant_credit_score_type; construction_method; record_id; open_end_line_of_credit,Overall champion-model explanation reference.
group_vs_overall,race,White,champion,162731,99592,0.6120038591294836,champion,overall,0.7811217510259917,0.6666666666666666,0.0019631035922416215,debt_to_income_ratio; business_or_commercial_purpose; lien_status; co_applicant_credit_score_type; construction_method; record_id; applicant_credit_score_type; preapproval; derived_loan_product_type; county_code,Group-level explanation comparison.
group_vs_overall,race,Race Not Available,champion,62332,32187,0.516380029519348,champion,overall,0.6880984952120383,0.6666666666666666,0.004965475014789954,debt_to_income_ratio; occupancy_type; business_or_commercial_purpose; lien_status; preapproval; applicant_credit_score_type; co_applicant_credit_score_type; construction_method; loan_purpose; derived_loan_product_type,Group-level explanation comparison.
group_vs_overall,race,Asian,champion,31821,18142,0.5701266459256465,champion,overall,0.7681258549931599,0.8181818181818182,0.0020998043469420964,debt_to_income_ratio; business_or_commercial_purpose; lien_status; occupancy_type; applicant_credit_score_type; preapproval; construction_method; loan_purpose; open_end_line_of_credit; co_applicant_credit_score_type,Group-level explanation comparison.
group_vs_overall,race,Black or African American,champion,25436,12310,0.4839597420978141,champion,overall,0.8659370725034199,0.6666666666666666,0.0023036802593809492,debt_to_income_ratio; business_or_commercial_purpose; occupancy_type; lien_status; preapproval; co_applicant_credit_score_type; record_id; loan_type; applicant_credit_score_type; loan_amount,Group-level explanation comparison.
group_vs_overall,race,Joint,champion,5021,3284,0.654052977494523,champion,overall,0.7859097127222981,0.8181818181818182,0.0027717216548493436,debt_to_income_ratio; lien_status; business_or_commercial_purpose; preapproval; applicant_credit_score_type; occupancy_type; loan_type; record_id; co_applicant_credit_score_type; construction_method,Group-level explanation comparison.
group_vs_overall,race,American Indian or Alaska Native,champion,1253,505,0.4030327214684757,champion,overall,0.7448700410396716,0.8181818181818182,0.0015583476935405716,debt_to_income_ratio; business_or_commercial_purpose; applicant_credit_score_type; lien_status; construction_method; preapproval; open_end_line_of_credit; loan_type; record_id; co_applicant_credit_score_type,Group-level explanation comparison.
group_vs_overall,race,2 or more minority races,champion,631,281,0.44532488114104596,champion,overall,0.27202740965455396,0.42857142857142855,0.003409497456751951,debt_to_income_ratio; lien_status; business_or_commercial_purpose; record_id; occupancy_type; construction_method; loan_type; county_code; loan_purpose; census_tract,Group-level explanation comparison.
group_vs_overall,race,Native Hawaiian or Other Pacific Islander,champion,624,235,0.3766025641025641,champion,overall,0.6922024623803009,0.6666666666666666,0.0022068805917537194,debt_to_income_ratio; business_or_commercial_purpose; applicant_credit_score_type; construction_method; preapproval; lien_status; record_id; open_end_line_of_credit; loan_type; total_units,Group-level explanation comparison.
group_vs_overall,race,Free Form Text Only,champion,155,41,0.2645161290322581,champion,overall,0.015615815155583556,0.17647058823529413,0.003820553697879803,debt_to_income_ratio; census_tract; occupancy_type; lien_status; county_code; total_units; loan_type; derived_loan_product_type; loan_purpose; derived_msa_md,Group-level explanation comparison.
group_vs_overall,ethnicity,Not Hispanic or Latino,champion,190910,114482,0.5996647635011262,champion,overall,0.837893296853625,0.8181818181818182,0.0017987354877625735,debt_to_income_ratio; business_or_commercial_purpose; lien_status; occupancy_type; preapproval; applicant_credit_score_type; record_id; construction_method; co_applicant_credit_score_type; loan_type,Group-level explanation comparison.
group_vs_overall,ethnicity,Ethnicity Not Available,champion,54597,28680,0.5253035881092367,champion,overall,0.8570451436388509,0.6666666666666666,0.00431996217340693,debt_to_income_ratio; occupancy_type; business_or_commercial_purpose; preapproval; co_applicant_credit_score_type; lien_status; applicant_credit_score_type; loan_purpose; record_id; loan_amount,Group-level explanation comparison.
group_vs_overall,ethnicity,Hispanic or Latino,champion,36919,18785,0.5088165984994176,champion,overall,0.8488372093023254,0.6666666666666666,0.00206476806810575,debt_to_income_ratio; lien_status; business_or_commercial_purpose; applicant_credit_score_type; loan_type; occupancy_type; construction_method; co_applicant_credit_score_type; preapproval; census_tract,Group-level explanation comparison.
group_vs_overall,ethnicity,Joint,champion,7354,4544,0.6178950231166712,champion,overall,0.7674418604651162,0.8181818181818182,0.0024310116662419035,debt_to_income_ratio; lien_status; business_or_commercial_purpose; applicant_credit_score_type; construction_method; preapproval; loan_type; record_id; open_end_line_of_credit; co_applicant_credit_score_type,Group-level explanation comparison.
group_vs_overall,ethnicity,Free Form Text Only,champion,224,86,0.38392857142857145,champion,overall,0.3182028955067856,0.5384615384615384,0.0031646225695595507,debt_to_income_ratio; business_or_commercial_purpose; applicant_credit_score_type; lien_status; open_end_line_of_credit; record_id; loan_purpose; occupancy_type; loan_type; census_tract,Group-level explanation comparison.
group_vs_overall,sex,Male,champion,103513,56215,0.5430718846908118,champion,overall,0.8242134062927495,0.8181818181818182,0.0019948965391296215,debt_to_income_ratio; occupancy_type; lien_status; preapproval; business_or_commercial_purpose; applicant_credit_score_type; loan_purpose; record_id; co_applicant_credit_score_type; construction_method,Group-level explanation comparison.
group_vs_overall,sex,Joint,champion,95222,61433,0.6451555312847871,champion,overall,0.7742818057455539,0.8181818181818182,0.002009618123030037,debt_to_income_ratio; business_or_commercial_purpose; lien_status; applicant_credit_score_type; occupancy_type; preapproval; co_applicant_credit_score_type; open_end_line_of_credit; record_id; loan_type,Group-level explanation comparison.
group_vs_overall,sex,Female,champion,60049,32742,0.5452547086545988,champion,overall,0.816689466484268,0.8181818181818182,0.0020279482026601793,debt_to_income_ratio; lien_status; construction_method; record_id; business_or_commercial_purpose; occupancy_type; preapproval; applicant_credit_score_type; loan_type; co_applicant_credit_score_type,Group-level explanation comparison.
group_vs_overall,sex,Sex Not Available,champion,31220,16187,0.5184817424727739,champion,overall,0.5280437756497947,0.6666666666666666,0.007113853119818507,debt_to_income_ratio; occupancy_type; business_or_commercial_purpose; lien_status; co_applicant_credit_score_type; preapproval; applicant_credit_score_type; total_units; record_id; derived_loan_product_type,Group-level explanation comparison.
group_vs_overall,income_band,medium,champion,89635,54241,0.6051319239136498,champion,overall,0.5246238030095759,0.8181818181818182,0.0021468638996553204,debt_to_income_ratio; lien_status; business_or_commercial_purpose; applicant_credit_score_type; occupancy_type; record_id; preapproval; co_applicant_credit_score_type; open_end_line_of_credit; derived_loan_product_type,Group-level explanation comparison.
group_vs_overall,income_band,high,champion,89635,57268,0.6389022145367323,champion,overall,0.4525397706000442,0.8181818181818182,0.002597931683333631,debt_to_income_ratio; business_or_commercial_purpose; lien_status; applicant_credit_score_type; co_applicant_credit_score_type; record_id; occupancy_type; loan_type; open_end_line_of_credit; preapproval,Group-level explanation comparison.
group_vs_overall,income_band,low,champion,89635,42221,0.47103252077871366,champion,overall,0.7954856361149111,0.8181818181818182,0.0014376228301283228,debt_to_income_ratio; business_or_commercial_purpose; construction_method; lien_status; occupancy_type; preapproval; applicant_credit_score_type; record_id; co_applicant_credit_score_type; loan_purpose,Group-level explanation comparison.
group_vs_overall,income_band,Missing,champion,21099,12847,0.6088914166548177,champion,overall,0.5142857820261568,0.42857142857142855,0.014673942546474555,debt_to_income_ratio; occupancy_type; record_id; business_or_commercial_purpose; derived_dwelling_category; total_units; census_tract; applicant_credit_score_type; loan_amount; preapproval,Group-level explanation comparison.
time_split_vs_overall,time_split,early_proxy,champion,96668,52251,0.5405201307568172,champion,overall,0.6121751025991792,0.5384615384615384,0.0015166471217648802,debt_to_income_ratio; business_or_commercial_purpose; lien_status; co_applicant_credit_score_type; occupancy_type; applicant_credit_score_type; preapproval; loan_type; loan_purpose; census_tract,row-order proxy split because no usable multi-period time column was available
time_split_vs_overall,time_split,late_proxy,champion,96668,57654,0.5964124632763687,champion,overall,0.6928864569083447,0.8181818181818182,0.0016386562475102862,debt_to_income_ratio; occupancy_type; business_or_commercial_purpose; lien_status; applicant_credit_score_type; co_applicant_credit_score_type; preapproval; record_id; construction_method; loan_purpose,row-order proxy split because no usable multi-period time column was available
time_split_vs_overall,time_split,middle_proxy,champion,96668,56672,0.5862539827036869,champion,overall,0.5054719562243501,0.8181818181818182,0.0020139162097850905,debt_to_income_ratio; occupancy_type; lien_status; business_or_commercial_purpose; construction_method; preapproval; co_applicant_credit_score_type; loan_purpose; applicant_credit_score_type; record_id,row-order proxy split because no usable multi-period time column was available
challenger_vs_champion,model,overall,challenger,290004,166577,0.5743955255789576,champion,overall,0.395209632894352,0.42857142857142855,0.011730921755817787,debt_to_income_ratio; record_id; loan_to_value_ratio; loan_purpose; applicant_credit_score_type; property_value; occupancy_type; co_applicant_credit_score_type; income; preapproval,Compares challenger explanation ranking against champion explanation ranking.
