column_name,total_rows,non_missing_count,missing_count,missing_percent
applicant_ethnicity-5,323940,0,323940,100.0
co-applicant_ethnicity-5,323940,1,323939,99.9997
co-applicant_ethnicity-4,323940,4,323936,99.9988
co-applicant_race-5,323940,5,323935,99.9985
applicant_ethnicity-4,323940,11,323929,99.9966
applicant_race-5,323940,22,323918,99.9932
co-applicant_race-4,323940,23,323917,99.9929
applicant_race-4,323940,98,323842,99.9697
co-applicant_ethnicity-3,323940,150,323790,99.9537
denial_reason-4,323940,172,323768,99.9469
co-applicant_race-3,323940,387,323553,99.8805
applicant_ethnicity-3,323940,489,323451,99.849
applicant_race-3,323940,1066,322874,99.6709
denial_reason-3,323940,1617,322323,99.5008
aus-5,323940,1625,322315,99.4984
aus-4,323940,1951,321989,99.3977
multifamily_affordable_units,323940,5950,317990,98.1632
aus-3,323940,6360,317580,98.0367
total_points_and_fees,323940,6824,317116,97.8934
co-applicant_ethnicity-2,323940,6851,317089,97.8851
co-applicant_race-2,323940,9576,314364,97.0439
denial_reason-2,323940,11195,312745,96.5441
aus-2,323940,18277,305663,94.3579
applicant_ethnicity-2,323940,19060,304880,94.1162
prepayment_penalty_term,323940,23937,300003,92.6107
applicant_race-2,323940,24736,299204,92.364
lender_credits,323940,51770,272170,84.0186
discount_points,323940,73546,250394,77.2964
intro_rate_period,323940,79632,244308,75.4177
co-applicant_age_above_62,323940,114941,208999,64.5178
total_loan_costs,323940,139685,184255,56.8794
origination_charges,323940,140651,183289,56.5812
rate_spread,323940,149893,174047,53.7282
interest_rate,323940,201400,122540,37.828
debt_to_income_ratio,323940,204753,119187,36.7929
loan_to_value_ratio,323940,215661,108279,33.4256
property_value,323940,251216,72724,22.4498
income,323940,277010,46930,14.4873
applicant_age_above_62,323940,282758,41182,12.7128
loan_term,323940,319063,4877,1.5055
census_tract,323940,321849,2091,0.6455
county_code,323940,322224,1716,0.5297
conforming_loan_limit,323940,322654,1286,0.397
applicant_ethnicity-1,323940,323709,231,0.0713
applicant_race-1,323940,323785,155,0.0478
co-applicant_ethnicity-1,323940,323871,69,0.0213
co-applicant_race-1,323940,323889,51,0.0157
activity_year,323940,323940,0,0.0
lei,323940,323940,0,0.0
derived_msa-md,323940,323940,0,0.0
state_code,323940,323940,0,0.0
derived_loan_product_type,323940,323940,0,0.0
derived_dwelling_category,323940,323940,0,0.0
derived_ethnicity,323940,323940,0,0.0
derived_race,323940,323940,0,0.0
derived_sex,323940,323940,0,0.0
action_taken,323940,323940,0,0.0
purchaser_type,323940,323940,0,0.0
preapproval,323940,323940,0,0.0
loan_type,323940,323940,0,0.0
loan_purpose,323940,323940,0,0.0
lien_status,323940,323940,0,0.0
reverse_mortgage,323940,323940,0,0.0
open-end_line_of_credit,323940,323940,0,0.0
business_or_commercial_purpose,323940,323940,0,0.0
loan_amount,323940,323940,0,0.0
hoepa_status,323940,323940,0,0.0
negative_amortization,323940,323940,0,0.0
interest_only_payment,323940,323940,0,0.0
balloon_payment,323940,323940,0,0.0
other_nonamortizing_features,323940,323940,0,0.0
construction_method,323940,323940,0,0.0
occupancy_type,323940,323940,0,0.0
manufactured_home_secured_property_type,323940,323940,0,0.0
manufactured_home_land_property_interest,323940,323940,0,0.0
total_units,323940,323940,0,0.0
applicant_credit_score_type,323940,323940,0,0.0
co-applicant_credit_score_type,323940,323940,0,0.0
applicant_ethnicity_observed,323940,323940,0,0.0
co-applicant_ethnicity_observed,323940,323940,0,0.0
applicant_race_observed,323940,323940,0,0.0
co-applicant_race_observed,323940,323940,0,0.0
applicant_sex,323940,323940,0,0.0
co-applicant_sex,323940,323940,0,0.0
applicant_sex_observed,323940,323940,0,0.0
co-applicant_sex_observed,323940,323940,0,0.0
applicant_age,323940,323940,0,0.0
co-applicant_age,323940,323940,0,0.0
submission_of_application,323940,323940,0,0.0
initially_payable_to_institution,323940,323940,0,0.0
aus-1,323940,323940,0,0.0
denial_reason-1,323940,323940,0,0.0
tract_population,323940,323940,0,0.0
tract_minority_population_percent,323940,323940,0,0.0
ffiec_msa_md_median_family_income,323940,323940,0,0.0
tract_to_msa_income_percentage,323940,323940,0,0.0
tract_owner_occupied_units,323940,323940,0,0.0
tract_one_to_four_family_homes,323940,323940,0,0.0
tract_median_age_of_housing_units,323940,323940,0,0.0
